date,count,target,level,comment
2022-10-03,142,1250,1,""
2022-10-04,0,1250,0,""
2022-10-05,0,1250,0,""
2022-10-06,0,1250,0,""
2022-10-10,781,1250,3,""
2022-10-11,658,1000,3,""
2022-10-12,757,1000,4,""
2022-10-13,1253,1000,5,""
2022-10-14,1111,1000,5,""
2022-10-15,692,1000,3,""
2022-10-17,656,1000,3,""
2022-10-18,589,1000,3,""
2022-10-19,1248,1000,5,""
2022-10-20,1169,1000,5,""
2022-10-21,665,1000,3,""
2022-10-22,1242,1000,5,""
2022-10-25,1310,1000,5,""
2022-10-26,787,1250,3,""
2022-10-27,1382,1000,5,""
2022-10-28,1220,1000,5,""
2022-10-29,994,1000,4,""
2022-10-30,1233,1000,5,""
2022-10-31,627,1250,3,""
2022-11-01,635,1250,3,""
2022-11-02,1087,1250,4,""
2022-11-03,659,1000,3,""
2022-11-04,903,1000,4,""
2022-11-05,912,1000,4,""
2022-11-06,1007,1000,5,""
2022-11-07,1159,1000,5,""
2022-11-08,1004,1000,5,""
2022-11-09,177,1000,1,""
2022-11-10,889,1000,4,""
2022-11-11,957,1000,4,""
2022-11-12,455,1000,2,""
2022-11-16,582,1000,3,""
2022-11-17,0,1000,0,""
2022-11-19,469,1250,2,""
2022-11-20,595,1000,3,""
2022-11-24,1073,1000,5,""
2022-11-25,1046,1000,5,""
2022-11-26,1,1000,1,""
2022-11-27,1066,1000,5,""
2022-11-28,833,1000,4,""
2022-11-29,952,1000,4,""
2022-11-30,680,1000,3,""
2022-12-02,1449,1000,5,""
2022-12-03,0,1000,0,""
2023-01-23,658,1250,3,""
2023-01-27,1133,1250,4,""
2023-02-04,1346,1250,5,""
2022-12-06,0,1250,0,""
2022-12-09,0,1250,0,""
2022-12-10,0,1250,0,""
2022-12-11,0,1250,0,""
2022-12-12,772,1250,3,""
2022-12-13,1012,1250,4,""
2022-12-14,1023,1250,4,""
2022-12-15,743,1250,3,""
2022-12-16,1071,1250,4,""
2022-12-17,1877,1250,5,""
2022-12-18,1203,1250,4,""
2022-12-19,1704,1250,5,""
2022-12-20,1473,1250,5,""
2022-12-21,61,1250,1,""
2022-12-23,1003,1250,4,""
2022-12-24,1258,1250,5,""
2022-12-26,68,1250,1,""
2022-12-27,2202,1250,5,""
2022-12-28,1074,1250,4,""
2022-12-29,3078,1250,5,""
2022-12-30,1403,1250,5,""
2023-01-02,865,1250,3,""
2023-01-03,1147,1250,4,""
2023-01-04,1023,1250,4,""
2023-01-05,1116,1250,4,""
2023-01-06,555,1250,2,""
2023-01-07,3,1250,1,""
2023-01-08,1411,1250,5,""
2023-01-09,1328,1250,5,""
2023-01-10,1119,1250,4,""
2023-01-11,1287,1250,5,""
2023-01-12,876,1250,3,""
2023-01-13,572,1250,2,""
2023-01-14,943,1250,4,""
2023-01-15,1181,1250,4,""
2023-01-16,369,1250,2,""
2023-01-17,1824,1250,5,""
2023-01-20,795,1250,3,""
2023-01-21,1535,1250,5,""
2023-01-22,1847,1250,5,""
2023-01-24,472,1250,2,""
2023-01-25,1028,1250,4,""
2023-01-26,946,1250,4,""
2023-01-30,973,1250,4,""
2023-01-31,1194,1250,4,""
2023-02-01,1023,1250,4,""
2023-02-02,338,1250,2,""
2023-02-05,1,1250,1,""
